set,i,instance,n,d,floor,strategy,best_rho,gap,n_eval,wall,budget
conditioned,11,conditioned64[11](c4=27),64,4,3.464102,anneal,3.186443,-0.277659,2000,0.378,2000
conditioned,11,conditioned64[11](c4=27),64,4,3.464102,tabu,3.116725,-0.347376,2000,0.367,2000
conditioned,12,conditioned64[12](c4=26),64,4,3.464102,family,3.138572,-0.32553,2000,0.676,2000
conditioned,12,conditioned64[12](c4=26),64,4,3.464102,randcon,3.226029,-0.238073,2000,0.568,2000
conditioned,12,conditioned64[12](c4=26),64,4,3.464102,random,3.204764,-0.259338,2000,0.41,2000
conditioned,12,conditioned64[12](c4=26),64,4,3.464102,anneal,3.180025,-0.284077,2000,0.382,2000
conditioned,12,conditioned64[12](c4=26),64,4,3.464102,tabu,3.12416,-0.339942,2000,0.38,2000
conditioned,13,conditioned64[13](c4=26),64,4,3.464102,family,3.076446,-0.387655,2000,0.613,2000
conditioned,13,conditioned64[13](c4=26),64,4,3.464102,randcon,3.156299,-0.307803,2000,0.531,2000
conditioned,13,conditioned64[13](c4=26),64,4,3.464102,random,3.194736,-0.269366,2000,0.399,2000
conditioned,13,conditioned64[13](c4=26),64,4,3.464102,anneal,3.171805,-0.292297,2000,0.389,2000
conditioned,13,conditioned64[13](c4=26),64,4,3.464102,tabu,3.086071,-0.378031,2000,0.384,2000
conditioned,14,conditioned64[14](c4=26),64,4,3.464102,family,3.122662,-0.34144,2000,0.631,2000
conditioned,14,conditioned64[14](c4=26),64,4,3.464102,randcon,3.189185,-0.274917,2000,0.57,2000
conditioned,14,conditioned64[14](c4=26),64,4,3.464102,random,3.203726,-0.260376,2000,0.407,2000
conditioned,14,conditioned64[14](c4=26),64,4,3.464102,anneal,3.160707,-0.303395,2000,0.379,2000
conditioned,14,conditioned64[14](c4=26),64,4,3.464102,tabu,3.087138,-0.376964,2000,0.379,2000
conditioned,15,conditioned64[15](c4=26),64,4,3.464102,family,3.126215,-0.337886,2000,0.636,2000
conditioned,15,conditioned64[15](c4=26),64,4,3.464102,randcon,3.245004,-0.219097,2000,0.536,2000
conditioned,15,conditioned64[15](c4=26),64,4,3.464102,random,3.207128,-0.256974,2000,0.434,2000
conditioned,15,conditioned64[15](c4=26),64,4,3.464102,anneal,3.172475,-0.291626,2000,0.382,2000
conditioned,15,conditioned64[15](c4=26),64,4,3.464102,tabu,3.123195,-0.340907,2000,0.401,2000
conditioned,16,conditioned64[16](c4=26),64,4,3.464102,family,3.103962,-0.36014,2000,0.635,2000
conditioned,16,conditioned64[16](c4=26),64,4,3.464102,randcon,3.198225,-0.265876,2000,0.525,2000
conditioned,16,conditioned64[16](c4=26),64,4,3.464102,random,3.220828,-0.243274,2000,0.396,2000
conditioned,16,conditioned64[16](c4=26),64,4,3.464102,anneal,3.171895,-0.292207,2000,0.38,2000
conditioned,16,conditioned64[16](c4=26),64,4,3.464102,tabu,3.149943,-0.314159,2000,0.362,2000
conditioned,17,conditioned64[17](c4=27),64,4,3.464102,family,3.113592,-0.350509,2000,0.64,2000
conditioned,17,conditioned64[17](c4=27),64,4,3.464102,randcon,3.211953,-0.252149,2000,0.556,2000
conditioned,17,conditioned64[17](c4=27),64,4,3.464102,random,3.222687,-0.241415,2000,0.417,2000
conditioned,17,conditioned64[17](c4=27),64,4,3.464102,anneal,3.116432,-0.347669,2000,0.396,2000
conditioned,17,conditioned64[17](c4=27),64,4,3.464102,tabu,3.116703,-0.347399,2000,0.377,2000
conditioned,18,conditioned64[18](c4=26),64,4,3.464102,family,3.099404,-0.364698,2000,0.604,2000
conditioned,18,conditioned64[18](c4=26),64,4,3.464102,randcon,3.220983,-0.243118,2000,0.525,2000
conditioned,18,conditioned64[18](c4=26),64,4,3.464102,random,3.239751,-0.224351,2000,0.397,2000
conditioned,18,conditioned64[18](c4=26),64,4,3.464102,anneal,3.183935,-0.280167,2000,0.385,2000
conditioned,18,conditioned64[18](c4=26),64,4,3.464102,tabu,3.056613,-0.407489,2000,0.378,2000
conditioned,19,conditioned64[19](c4=26),64,4,3.464102,family,3.146832,-0.31727,2000,0.651,2000
conditioned,19,conditioned64[19](c4=26),64,4,3.464102,randcon,3.229068,-0.235034,2000,0.539,2000
